school_code,2018,2019,2020,2021,2022,2023,2024
M040,,,,,,,
M142,,,,,,,
K953,,,,,,,
K284,,,,,,,
K898,,,,,,,
K907,,,,,,,
Q376,,,,,,,
Q384,,,,,,,
M184,,,,,,,
M064,,,,,,,
M020,,,,,,,
Q379,,,,,,,
K936,,,,,,,
Q390,,,,,,,
M140,,,,,,,
X595,,,,,,,
Q398,,,,,,,
M134,,,,,,,
M310,,,,,,,
X593,,,,,,,
K896,,,,,,,
M034,,,,,,,
X596,,,,,,,
K889,,,,,,,
M110,,,,,,,
K938,,,,,,,
K915,,,,,,,
M297,,,,,,,
X594,,,,,,,
X360,,,,,,,
K253,,,,,,,
X584,,,,,,,
K890,,,,,,,
X625,,,,,,,
M063,,,,,,,
Q377,,,,,,,
X583,,,,,,,
M188,,,,,,,
K939,,,,,,,
M371,,,,,,,
M015,,,,,,,
M019,,,,,,,
M292,,,,,,,
M315,,,,,,,
M332,,,,,,,
M361,,,,,,,
M363,,,,,,,
M364,,,,,,,
M378,,,,,,,
M448,,,,,,,
M450,,,,,,,
M458,,,,,,,
M515,,,,,,,
M539,,,,,,,
M650,,,,,,,
M696,,,,,,,
M839,,,,,,,
M001,,,,,,,
M002,,,,,,,
M003,,,,,,,
M006,,,,,,,
M011,,,,,,,
M033,,,,,,,
M041,,,,,,,
M042,,,,,,,
M047,,,,,,,
M051,,,,,,,
M059,,,,,,,
M077,,,,,,,
M089,,,,,,,
M104,,,,,,,
M111,,,,,,,
M114,,,,,,,
M116,,,,,,,
M124,,,,,,,
M126,,,,,,,
M130,,,,,,,
M131,,,,,,,
M135,,,,,,,
M139,,,,,,,
M150,,,,,,,
M151,,,,,,,
M158,,,,,,,
M167,,,,,,,
M177,,,,,,,
M183,,,,,,,
M198,,,,,,,
M212,,,,,,,
M217,,,,,,,
M225,,,,,,,
M234,,,,,,,
M255,,,,,,,
M260,,,,,,,
,,,,,,,
M267,,,,,,,
M276,,,,,,,
M280,,,,,,,
M281,,,,,,,
M282,,,,,,,
M288,,,,,,,
M289,,,,,,,
M290,,,,,,,
M294,,,,,,,
M296,,,,,,,
M298,,,,,,,
M300,,,,,,,
M303,,,,,,,
M305,,,,,,,
M308,,,,,,,
M312,,,,,,,
M313,,,,,,,
M316,,,,,,,
M340,,,,,,,
M343,,,,,,,
M347,,,,,,,
M374,,,,,,,
M376,,,,,,,
M392,,,,,,,
